"Date","leaves"
"1-1-2016",69
"1-2-2016",12
"1-3-2016",30
"1-4-2016",95
"1-5-2016",31
"1-6-2016",16
"1-7-2016",85
"1-8-2016",71
"1-9-2016",72
"1-10-2016",83
"1-11-2016",60
"1-12-2016",21
"1-13-2016",26
"1-14-2016",63
"1-15-2016",87
"1-16-2016",75
"1-17-2016",42
"1-18-2016",14
"1-19-2016",76
"1-20-2016",100
"1-21-2016",64
"1-22-2016",32
"1-23-2016",4
"1-24-2016",76
"1-25-2016",77
"1-26-2016",60
"1-27-2016",63
"1-28-2016",62
"1-29-2016",28
"1-30-2016",81
"1-31-2016",14
"2-1-2016",74
"2-2-2016",75
"2-3-2016",5
"2-4-2016",15
"2-5-2016",32
"2-6-2016",7
"2-7-2016",95
"2-8-2016",4
"2-9-2016",16
"2-10-2016",79
"2-11-2016",40
"2-12-2016",81
"2-13-2016",88
"2-14-2016",21
"2-15-2016",72
"2-16-2016",80
"2-17-2016",46
"2-18-2016",3
"2-19-2016",27
"2-20-2016",10
"2-21-2016",18
"2-22-2016",6
"2-23-2016",77
"2-24-2016",25
"2-25-2016",31
"2-26-2016",79
"2-27-2016",44
"2-28-2016",95
"2-29-2016",89
"3-1-2016",77
"3-2-2016",47
"3-3-2016",79
"3-4-2016",36
"3-5-2016",28
"3-6-2016",62
"3-7-2016",27
"3-8-2016",21
"3-9-2016",27
"3-10-2016",28
"3-11-2016",5
"3-12-2016",23
"3-13-2016",44
"3-14-2016",9
"3-15-2016",99
"3-16-2016",31
"3-17-2016",7
"3-18-2016",87
"3-19-2016",43
"3-20-2016",70
"3-21-2016",35
"3-22-2016",7
"3-23-2016",20
"3-24-2016",98
"3-25-2016",19
"3-26-2016",28
"3-27-2016",89
"3-28-2016",62
"3-29-2016",84
"3-30-2016",93
"3-31-2016",43
"4-1-2016",53
"4-2-2016",12
"4-3-2016",5
"4-4-2016",37
"4-5-2016",84
"4-6-2016",95
"4-7-2016",70
"4-8-2016",95
"4-9-2016",6
"4-10-2016",35
"4-11-2016",16
"4-12-2016",73
"4-13-2016",12
"4-14-2016",52
"4-15-2016",28
"4-16-2016",78
"4-17-2016",51
"4-18-2016",32
"4-19-2016",9
"4-20-2016",14
"4-21-2016",4
"4-22-2016",16
"4-23-2016",46
"4-24-2016",88
"4-25-2016",19
"4-26-2016",52
"4-27-2016",51
"4-28-2016",29
"4-29-2016",16
"4-30-2016",9
"5-1-2016",68
"5-2-2016",42
"5-3-2016",80
"5-4-2016",13
"5-5-2016",24
"5-6-2016",81
"5-7-2016",6
"5-8-2016",88
"5-9-2016",0
"5-10-2016",33
"5-11-2016",87
"5-12-2016",54
"5-13-2016",61
"5-14-2016",78
"5-15-2016",98
"5-16-2016",0
"5-17-2016",83
"5-18-2016",52
"5-19-2016",39
"5-20-2016",55
"5-21-2016",28
"5-22-2016",30
"5-23-2016",21
"5-24-2016",62
"5-25-2016",30
"5-26-2016",37
"5-27-2016",99
"5-28-2016",13
"5-29-2016",21
"5-30-2016",37
"5-31-2016",36
"6-1-2016",12
"6-2-2016",45
"6-3-2016",41
"6-4-2016",80
"6-5-2016",97
"6-6-2016",36
"6-7-2016",71
"6-8-2016",30
"6-9-2016",31
"6-10-2016",47
"6-11-2016",38
"6-12-2016",5
"6-13-2016",31
"6-14-2016",17
"6-15-2016",10
"6-16-2016",35
"6-17-2016",32
"6-18-2016",70
"6-19-2016",95
"6-20-2016",94
"6-21-2016",74
"6-22-2016",4
"6-23-2016",41
"6-24-2016",91
"6-25-2016",48
"6-26-2016",27
"6-27-2016",88
"6-28-2016",30
"6-29-2016",84
"6-30-2016",39
"7-1-2016",61
"7-2-2016",78
"7-3-2016",90
"7-4-2016",41
"7-5-2016",40
"7-6-2016",22
"7-7-2016",8
"7-8-2016",82
"7-9-2016",10
"7-10-2016",67
"7-11-2016",40
"7-12-2016",86
"7-13-2016",4
"7-14-2016",47
"7-15-2016",17
"7-16-2016",64
"7-17-2016",30
"7-18-2016",86
"7-19-2016",7
"7-20-2016",92
"7-21-2016",23
"7-22-2016",52
"7-23-2016",81
"7-24-2016",77
"7-25-2016",54
"7-26-2016",83
"7-27-2016",60
"7-28-2016",18
"7-29-2016",44
"7-30-2016",50
"7-31-2016",57
"8-1-2016",66
"8-2-2016",27
"8-3-2016",41
"8-4-2016",14
"8-5-2016",74
"8-6-2016",51
"8-7-2016",29
"8-8-2016",35
"8-9-2016",82
"8-10-2016",45
"8-11-2016",77
"8-12-2016",36
"8-13-2016",63
"8-14-2016",64
"8-15-2016",76
"8-16-2016",65
"8-17-2016",12
"8-18-2016",65
"8-19-2016",25
"8-20-2016",92
"8-21-2016",76
"8-22-2016",16
"8-23-2016",56
"8-24-2016",51
"8-25-2016",97
"8-26-2016",92
"8-27-2016",92
"8-28-2016",61
"8-29-2016",41
"8-30-2016",88
"8-31-2016",35
"9-1-2016",3
"9-2-2016",91
"9-3-2016",84
"9-4-2016",26
"9-5-2016",76
"9-6-2016",37
"9-7-2016",83
"9-8-2016",9
"9-9-2016",61
"9-10-2016",30
"9-11-2016",0
"9-12-2016",54
"9-13-2016",77
"9-14-2016",3
"9-15-2016",61
"9-16-2016",86
"9-17-2016",55
"9-18-2016",25
"9-19-2016",4
"9-20-2016",54
"9-21-2016",78
"9-22-2016",8
"9-23-2016",67
"9-24-2016",39
"9-25-2016",41
"9-26-2016",83
"9-27-2016",89
"9-28-2016",91
"9-29-2016",94
"9-30-2016",65
"10-1-2016",20
"10-2-2016",19
"10-3-2016",50
"10-4-2016",16
"10-5-2016",73
"10-6-2016",23
"10-7-2016",73
"10-8-2016",5
"10-9-2016",58
"10-10-2016",98
"10-11-2016",29
"10-12-2016",15
"10-13-2016",21
"10-14-2016",45
"10-15-2016",18
"10-16-2016",45
"10-17-2016",40
"10-18-2016",86
"10-19-2016",46
"10-20-2016",73
"10-21-2016",41
"10-22-2016",51
"10-23-2016",16
"10-24-2016",9
"10-25-2016",56
"10-26-2016",37
"10-27-2016",26
"10-28-2016",3
"10-29-2016",97
"10-30-2016",14
"10-31-2016",1
"11-1-2016",90
"11-2-2016",7
"11-3-2016",36
"11-4-2016",7
"11-5-2016",74
"11-6-2016",29
"11-7-2016",17
"11-8-2016",7
"11-9-2016",65
"11-10-2016",41
"11-11-2016",40
"11-12-2016",33
"11-13-2016",64
"11-14-2016",55
"11-15-2016",93
"11-16-2016",0
"11-17-2016",4
"11-18-2016",62
"11-19-2016",4
"11-20-2016",51
"11-21-2016",9
"11-22-2016",28
"11-23-2016",42
"11-24-2016",92
"11-25-2016",21
"11-26-2016",52
"11-27-2016",26
"11-28-2016",55
"11-29-2016",85
"11-30-2016",35
"12-1-2016",50
"12-2-2016",71
"12-3-2016",67
"12-4-2016",68
"12-5-2016",92
"12-6-2016",93
"12-7-2016",63
"12-8-2016",91
"12-9-2016",23
"12-10-2016",16
"12-11-2016",69
"12-12-2016",7
"12-13-2016",85
"12-14-2016",47
"12-15-2016",14
"12-16-2016",55
"12-17-2016",95
"12-18-2016",56
"12-19-2016",55
"12-20-2016",52
"12-21-2016",17
"12-22-2016",40
"12-23-2016",70
"12-24-2016",58
"12-25-2016",96
"12-26-2016",9
"12-27-2016",25
"12-28-2016",32
"12-29-2016",86
"12-30-2016",32
"12-31-2016",50
"1-1-2017",95
"1-2-2017",56
